#8 (9.8,-8.1)                    
20 qid:201507111458110018 1:9.76409 2:8.06505 3:4.59568 4:0 5:0.203478 6:16.0045 7:15.225 8:1.46739e-09 9:0 10:-4.92113 11:10.2812 12:14.8515 13:2.21619 14:171.418 15:10.7641 16:10.7641 17:10.1724 18:38.8917 19:18.1083 20:0
#3 (6.8,-8.1)                    
18 qid:201507111458110018 1:6.76409 2:8.06505 3:6.23237 4:0 5:0.072614 6:14.0956 7:2.57887 8:2.13829e-07 9:3 10:-4.92113 11:10.2812 12:11.8935 13:2.21619 14:169.261 15:10.7641 16:10.7641 17:8.14908 18:53.9171 19:3.08294 20:0
#4 (6.8,-5.1)                    
15 qid:201507111458110018 1:6.76409 2:5.06505 3:6.15177 4:1 5:0.112845 6:12.8916 7:4.7875 8:1.69992e-06 9:4.24264 10:-4.92113 11:10.2812 12:12.7966 13:5.21619 14:155.944 15:10.7641 16:10.7641 17:5.94752 18:33.866 19:23.134 20:0
#7 (9.8,-11.1)                    
17 qid:201507111458110018 1:9.76409 2:11.065 3:4.22804 4:0 5:0.26706 6:13.1831 7:12.225 8:9.15834e-07 9:3 10:-4.92113 11:10.2812 12:14.7061 13:0.78381 14:176.945 15:10.7641 16:10.7641 17:12.3496 18:50.6319 19:6.36814 20:0
#5 (6.8,-2.1)                    
5 qid:201507111458110018 1:6.76409 2:2.06505 3:3.29189 4:1 5:0.55799 6:12.1024 7:1.7875 8:8.15161e-06 9:6.7082 10:-4.92113 11:10.2812 12:14.2846 13:8.21619 14:144.888 15:10.7641 16:10.7641 17:4.72635 18:1.71725 19:58.7173 20:0
#9 (9.8,-5.1)                    
5 qid:201507111458110018 1:9.76409 2:5.06505 3:3.17401 4:1 5:0.460751 6:15.7165 7:4.7875 8:2.62969e-09 9:3 10:-4.92113 11:10.2812 12:15.5841 13:5.21619 14:160.445 15:10.7641 16:10.7641 17:8.51132 18:21.5301 19:35.4699 20:0
#2 (6.8,-11.1)                    
4 qid:201507111458110018 1:6.76409 2:11.065 3:4.88726 4:0 5:0.257007 6:12.377 7:12.225 8:4.97102e-06 9:4.24264 10:-4.92113 11:10.2812 12:11.7115 13:0.78381 14:176.163 15:10.7641 16:10.7641 17:10.7444 18:64.2508 19:7.25083 20:0
#1 (6.8,-14.1)                    
3 qid:201507111458110018 1:6.76409 2:14.065 3:4.15974 4:1 5:0.559298 6:9.42552 7:9.22495 8:0.00081924 9:6.7082 10:-4.92113 11:10.2812 12:12.2826 13:3.78381 14:162.057 15:10.7641 16:10.7641 17:13.5084 18:70.1788 19:13.1788 20:1
#10 (9.8,-2.1)                    
2 qid:201507111458110018 1:9.76409 2:2.06505 3:4.12655 4:0 5:0.400139 6:15.076 7:1.7875 8:1.26861e-08 9:6 10:-4.92113 11:10.2812 12:16.8274 13:8.21619 14:150.774 15:10.7641 16:10.7641 17:7.70766 18:1.0097 19:58.0097 20:0
#6 (9.8,-14.1)                    
1 qid:201507111458110018 1:9.76409 2:14.065 3:1.49757 4:1 5:0.855245 6:10.4616 7:9.22495 8:0.000157576 9:6 10:-4.92113 11:10.2812 12:15.1649 13:3.78381 14:165.551 15:10.7641 16:10.7641 17:14.8171 18:58.4858 19:1.48578 20:2
